id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
03061429,03,06,14,29,10058,1393,9166,8665,501,892,100.0,13.849671902962815,91.13143766156293,86.15032809703719,4.981109564525751,8.868562338437066
03061430,03,06,14,30,3871,1423,2654,2448,206,1217,100.0,36.76052699560837,68.56109532420564,63.239473004391634,5.321622319814002,31.438904675794365
03061434,03,06,14,34,6317,1541,5238,4776,462,1079,100.0,24.394491055880955,82.91910717112555,75.60550894411905,7.313598227006491,17.080892828874468
03061435,03,06,14,35,3898,1057,3185,2841,344,713,100.0,27.116469984607487,81.70856849666495,72.88353001539251,8.825038481272447,18.291431503335044
03061441,03,06,14,41,2589,668,2237,1921,316,352,100.0,25.80146774816531,86.40401699497876,74.19853225183468,12.205484743144071,13.595983005021244
03071536,03,07,15,36,10864,3808,8282,7056,1226,2582,100.0,35.051546391752574,76.23343151693666,64.94845360824742,11.28497790868925,23.766568483063327
03071537,03,07,15,37,15674,5224,12022,10450,1572,3652,100.0,33.329080005104,76.70026795967844,66.67091999489601,10.029347964782442,23.29973204032155
03071633,03,07,16,33,3188,895,2599,2293,306,589,100.0,28.074027603513173,81.52446675031368,71.92597239648683,9.598494353826851,18.475533249686325
03071638,03,07,16,38,17526,5328,13974,12198,1776,3552,100.0,30.400547757617254,79.7329681615885,69.59945224238274,10.133515919205752,20.267031838411505
03071639,03,07,16,39,12480,3169,10480,9311,1169,2000,100.0,25.392628205128204,83.97435897435898,74.6073717948718,9.366987179487179,16.025641025641026
04010101,04,01,01,01,10656,4879,7881,5777,2104,2775,100.0,45.78641141141141,73.95833333333334,54.21358858858859,19.744744744744743,26.041666666666668
04010102,04,01,01,02,919,412,562,507,55,357,100.0,44.83133841131664,61.15342763873775,55.16866158868336,5.984766050054406,38.84657236126225
