district,forecast_area,district_region,planning_area,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
3,1,1,1,4305,100.0,725.0,16.8,3835.0,89.1,3580.0,83.2,255.0,5.9,470.0,10.9
3,1,1,2,12165,100.0,2527.0,20.8,10323.0,84.9,9638.0,79.2,685.0,5.6,1842.0,15.1
3,1,1,4,222,100.0,55.0,24.8,189.0,85.1,167.0,75.2,22.0,9.9,33.0,14.9
3,2,2,3,2058,100.0,127.0,6.2,2011.0,97.7,1931.0,93.8,80.0,3.9,47.0,2.3
3,2,2,9,15100,100.0,2635.0,17.5,13573.0,89.9,12465.0,82.5,1108.0,7.3,1527.0,10.1
3,2,2,10,11464,100.0,1922.0,16.8,10378.0,90.5,9542.0,83.2,836.0,7.3,1086.0,9.5
3,2,3,7,18419,100.0,2700.0,14.7,17195.0,93.4,15719.0,85.3,1476.0,8.0,1224.0,6.6
3,3,4,5,11455,100.0,2264.0,19.8,10120.0,88.3,9191.0,80.2,929.0,8.1,1335.0,11.7
3,3,4,6,8239,100.0,773.0,9.4,7907.0,96.0,7466.0,90.6,441.0,5.4,332.0,4.0
3,3,7,11,6913,100.0,603.0,8.7,6655.0,96.3,6310.0,91.3,345.0,5.0,258.0,3.7
3,3,7,15,7779,100.0,1591.0,20.5,6694.0,86.1,6188.0,79.5,506.0,6.5,1085.0,13.9
3,3,7,16,1120,100.0,48.0,4.3,1103.0,98.5,1072.0,95.7,31.0,2.8,17.0,1.5
3,4,5,8,4742,100.0,999.0,21.1,4404.0,92.9,3743.0,78.9,661.0,13.9,338.0,7.1
3,4,5,12,10438,100.0,1998.0,19.1,9449.0,90.5,8440.0,80.9,1009.0,9.7,989.0,9.5
3,4,5,13,3509,100.0,652.0,18.6,3189.0,90.9,2857.0,81.4,332.0,9.5,320.0,9.1
