district,forecast_area,district_region,planning_area,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
5,1,1,3,7630,337.0,527.0,177.0,695.0,1608.0,1053.0,1230.0,2003.0,3923.0,702.0
5,1,2,4,3584,236.0,422.0,138.0,356.0,706.0,371.0,439.0,916.0,1908.0,884.0
5,1,2,5,2283,87.0,153.0,73.0,309.0,449.0,378.0,461.0,373.0,1160.0,251.0
5,1,2,6,10738,749.0,959.0,313.0,1044.0,2377.0,1302.0,1351.0,2643.0,5520.0,2447.0
5,1,2,7,11609,768.0,1188.0,370.0,1103.0,2687.0,1438.0,1547.0,2508.0,6053.0,2740.0
5,1,2,8,7705,474.0,585.0,142.0,857.0,2122.0,1042.0,1087.0,1396.0,3968.0,1674.0
5,1,2,9,6112,289.0,441.0,157.0,566.0,1220.0,870.0,935.0,1634.0,3094.0,985.0
5,1,3,10,3953,271.0,300.0,85.0,443.0,1129.0,558.0,523.0,644.0,2011.0,964.0
5,1,3,11,5633,317.0,517.0,174.0,519.0,1261.0,681.0,605.0,1559.0,2979.0,1381.0
5,1,3,12,7463,582.0,726.0,186.0,990.0,2330.0,959.0,827.0,863.0,3488.0,3119.0
5,1,3,13,6834,461.0,509.0,179.0,917.0,1978.0,960.0,882.0,948.0,3311.0,1881.0
5,1,3,14,12366,784.0,842.0,306.0,1434.0,3565.0,1675.0,1682.0,2078.0,6262.0,2803.0
5,1,3,39,972,100.0,176.0,36.0,113.0,267.0,108.0,74.0,98.0,454.0,608.0
5,2,4,15,3835,173.0,321.0,134.0,446.0,571.0,746.0,839.0,605.0,1893.0,247.0
5,2,4,16,1703,69.0,89.0,33.0,140.0,306.0,229.0,268.0,569.0,881.0,24.0
5,2,4,17,5862,263.0,420.0,167.0,577.0,1116.0,881.0,957.0,1481.0,2913.0,855.0
5,2,4,18,4395,287.0,440.0,146.0,461.0,1042.0,539.0,498.0,982.0,2224.0,716.0
5,2,4,19,7250,482.0,649.0,142.0,647.0,1629.0,840.0,912.0,1949.0,3880.0,1235.0
5,2,4,20,1027,64.0,105.0,27.0,132.0,241.0,164.0,149.0,145.0,498.0,91.0
5,2,5,21,3260,225.0,354.0,119.0,340.0,703.0,559.0,438.0,522.0,1707.0,322.0
5,2,5,22,7636,584.0,915.0,252.0,741.0,1854.0,971.0,898.0,1421.0,3900.0,2388.0
5,2,5,23,12731,1161.0,1687.0,519.0,1413.0,2986.0,1425.0,1333.0,2207.0,6541.0,4090.0
5,2,5,24,6292,305.0,370.0,130.0,514.0,1110.0,758.0,1032.0,2073.0,3260.0,689.0
5,2,6,25,7689,419.0,477.0,165.0,872.0,1933.0,948.0,949.0,1926.0,3929.0,1797.0
5,2,6,26,18244,1023.0,1298.0,399.0,2053.0,5097.0,2577.0,2483.0,3314.0,9243.0,4060.0
5,2,6,27,4382,249.0,457.0,143.0,526.0,1041.0,604.0,566.0,796.0,2178.0,1284.0
5,2,6,28,2022,98.0,149.0,34.0,154.0,347.0,197.0,315.0,728.0,1123.0,242.0
5,2,6,29,4435,153.0,216.0,87.0,255.0,633.0,610.0,684.0,1797.0,2312.0,334.0
5,3,7,30,4064,340.0,498.0,172.0,422.0,1034.0,658.0,437.0,503.0,2035.0,775.0
5,3,7,31,11616,704.0,875.0,252.0,1077.0,2837.0,1511.0,1687.0,2673.0,6100.0,2439.0
5,3,8,32,12327,769.0,1096.0,301.0,1443.0,3346.0,1653.0,1558.0,2161.0,6095.0,3374.0
5,3,8,33,504,34.0,27.0,15.0,49.0,142.0,62.0,52.0,123.0,267.0,117.0
5,4,9,34,3457,164.0,315.0,118.0,317.0,493.0,460.0,575.0,1015.0,1714.0,494.0
5,4,9,35,457,30.0,18.0,15.0,31.0,82.0,83.0,70.0,128.0,219.0,67.0
5,4,9,36,10142,679.0,1185.0,367.0,722.0,1873.0,1688.0,1420.0,2208.0,5132.0,581.0
5,4,9,37,2203,95.0,168.0,62.0,131.0,311.0,263.0,384.0,789.0,1127.0,126.0
5,4,9,38,3686,159.0,335.0,112.0,253.0,517.0,492.0,588.0,1230.0,1899.0,203.0
6,1,1,1,6958,304.0,491.0,190.0,651.0,1320.0,952.0,998.0,2052.0,3739.0,949.0
6,1,1,2,8835,502.0,590.0,176.0,912.0,2486.0,1198.0,1284.0,1687.0,4664.0,1724.0
6,1,1,3,6428,403.0,393.0,147.0,662.0,1846.0,908.0,842.0,1227.0,3404.0,1071.0
6,1,2,4,6873,337.0,487.0,173.0,689.0,1661.0,1009.0,934.0,1583.0,3601.0,1191.0
6,1,2,5,9820,552.0,686.0,185.0,1002.0,2639.0,1378.0,1394.0,1984.0,5121.0,1675.0
6,1,2,6,7787,416.0,549.0,146.0,670.0,1976.0,1051.0,1028.0,1951.0,4195.0,1224.0
6,1,2,7,8021,451.0,519.0,161.0,843.0,2191.0,1046.0,1082.0,1728.0,4200.0,1461.0
6,1,2,8,6867,386.0,416.0,120.0,686.0,1935.0,894.0,1010.0,1420.0,3526.0,1108.0
6,1,2,9,9318,536.0,555.0,164.0,915.0,2686.0,1256.0,1282.0,1924.0,4998.0,1762.0
6,1,2,10,4896,290.0,327.0,100.0,449.0,1311.0,674.0,723.0,1022.0,2590.0,749.0
6,2,3,1,5004,255.0,343.0,124.0,406.0,998.0,691.0,669.0,1518.0,2656.0,568.0
6,2,3,2,6083,322.0,423.0,153.0,542.0,1225.0,802.0,812.0,1804.0,3144.0,1098.0
6,2,3,3,7364,418.0,477.0,125.0,681.0,2041.0,966.0,1088.0,1568.0,3947.0,1194.0
6,2,3,4,7261,439.0,475.0,138.0,700.0,1895.0,989.0,994.0,1631.0,3842.0,1089.0
6,2,3,5,11461,563.0,920.0,258.0,1251.0,2641.0,1433.0,1472.0,2923.0,6130.0,2101.0
6,2,3,6,6393,319.0,465.0,136.0,565.0,1091.0,998.0,1012.0,1807.0,3313.0,557.0
6,2,4,7,4662,251.0,391.0,110.0,480.0,1101.0,560.0,548.0,1221.0,2367.0,1214.0
6,2,4,8,6971,364.0,545.0,170.0,621.0,1428.0,972.0,950.0,1921.0,3635.0,1080.0
6,2,4,9,8455,424.0,634.0,233.0,696.0,1688.0,1088.0,1115.0,2577.0,4527.0,1256.0
6,2,4,10,7097,335.0,531.0,194.0,645.0,1325.0,1043.0,1032.0,1992.0,3755.0,843.0
6,2,4,11,8636,468.0,727.0,284.0,660.0,1511.0,1205.0,1273.0,2508.0,4580.0,1074.0
6,3,5,1,5760,230.0,477.0,184.0,580.0,943.0,805.0,778.0,1763.0,2910.0,862.0
6,3,5,2,5633,317.0,387.0,117.0,503.0,1226.0,828.0,837.0,1418.0,3107.0,730.0
6,3,5,3,11807,616.0,890.0,292.0,1064.0,2540.0,1699.0,1741.0,2965.0,6285.0,1817.0
6,3,5,4,11133,488.0,963.0,336.0,828.0,1700.0,1588.0,1510.0,3720.0,5967.0,1275.0
6,3,6,5,7133,338.0,500.0,151.0,685.0,1650.0,1050.0,1009.0,1750.0,3687.0,1082.0
6,3,6,6,5623,335.0,472.0,160.0,673.0,1356.0,733.0,762.0,1132.0,2875.0,1408.0
6,3,6,7,3148,135.0,252.0,74.0,549.0,713.0,392.0,397.0,636.0,1593.0,840.0
6,3,6,8,13784,771.0,1429.0,460.0,1184.0,2716.0,2244.0,1881.0,3099.0,6968.0,1876.0
6,3,6,9,12206,611.0,1022.0,303.0,1115.0,2591.0,1777.0,1790.0,2997.0,6383.0,1666.0
6,3,6,10,8491,436.0,773.0,290.0,669.0,1505.0,1305.0,1192.0,2321.0,4545.0,1077.0
